insert into jpaEmployee values(1, 'FirstName1', 'LastName1', '5551212121');
insert into jpaEmployee values(2, 'FirstName2', 'LastName2', '5551212122');
insert into jpaEmployee values(3, 'FirstName3', 'LastName3', '5551212123');
insert into jpaEmployee values(4, 'FirstName4', 'LastName4', '5551212124');
insert into jpaEmployee values(5, 'FirstName5', 'LastName5', '5551212125');
insert into jpaEmployee values(6, 'FirstName6', 'LastName6', '5551212126');
insert into jpaEmployee values(7, 'FirstName7', 'LastName7', '5551212127');
insert into jpaEmployee values(8, 'FirstName8', 'LastName8', '5551212128');
insert into jpaEmployee values(9, 'FirstName9', 'LastName9', '5551212129');
insert into jpaEmployee values(10, 'FirstName10', 'LastName10', '55512121210');
insert into jpaEmployee values(11, 'FirstName11', 'LastName11', '55512121211');
insert into jpaEmployee values(12, 'FirstName12', 'LastName12', '55512121212');
insert into jpaEmployee values(13, 'FirstName13', 'LastName13', '55512121213');
insert into jpaEmployee values(14, 'FirstName14', 'LastName14', '55512121214');
insert into jpaEmployee values(15, 'FirstName15', 'LastName15', '55512121215');
insert into jpaEmployee values(16, 'FirstName16', 'LastName16', '55512121216');
insert into jpaEmployee values(17, 'FirstName17', 'LastName17', '55512121217');
insert into jpaEmployee values(18, 'FirstName18', 'LastName18', '55512121218');
insert into jpaEmployee values(19, 'FirstName19', 'LastName19', '55512121219');
insert into jpaEmployee values(20, 'FirstName20', 'LastName20', '55512121220');
insert into jpaEmployee values(21, 'FirstName21', 'LastName21', '55512121221');
insert into jpaEmployee values(22, 'FirstName22', 'LastName22', '55512121222');
insert into jpaEmployee values(23, 'FirstName23', 'LastName23', '55512121223');
insert into jpaEmployee values(24, 'FirstName24', 'LastName24', '55512121224');
insert into jpaEmployee values(25, 'FirstName25', 'LastName25', '55512121225');
insert into jpaEmployee values(26, 'FirstName26', 'LastName26', '55512121226');
insert into jpaEmployee values(27, 'FirstName27', 'LastName27', '55512121227');
insert into jpaEmployee values(28, 'FirstName28', 'LastName28', '55512121228');
insert into jpaEmployee values(29, 'FirstName29', 'LastName29', '55512121229');
insert into jpaEmployee values(30, 'FirstName30', 'LastName30', '55512121230');
insert into jpaEmployee values(31, 'FirstName31', 'LastName31', '55512121231');
insert into jpaEmployee values(32, 'FirstName32', 'LastName32', '55512121232');
